Host,Parasite,Weight
ENSG00000177885,PBANKA_092670,5
ENSG00000175110,PBANKA_092720,5
ENSG00000100802,PBANKA_092720,5
ENSG00000166199,PBANKA_092720,5
ENSG00000080608,PBANKA_092720,5
ENSG00000138709,PBANKA_092720,5
ENSG00000132423,PBANKA_092720,5
ENSG00000103037,PBANKA_092720,5
ENSG00000145936,PBANKA_092720,5
ENSG00000111237,PBANKA_092720,5
ENSG00000164978,PBANKA_092720,5
ENSG00000005175,PBANKA_092720,5
ENSG00000164654,PBANKA_092720,5
ENSG00000156709,PBANKA_092720,5
ENSG00000140950,PBANKA_092720,5
ENSG00000067836,PBANKA_092720,5
ENSG00000084090,PBANKA_092720,5
ENSG00000129480,PBANKA_092720,5
ENSG00000120832,PBANKA_092720,5
ENSG00000074201,PBANKA_092720,5
ENSG00000163328,PBANKA_092720,5
ENSG00000172456,PBANKA_092720,5
ENSG00000129197,PBANKA_092830,5
ENSG00000151665,PBANKA_092830,5
ENSG00000161016,PBANKA_092830,5
ENSG00000183134,PBANKA_092890,5
ENSG00000104805,PBANKA_093120,5
ENSG00000174744,PBANKA_093120,5
ENSG00000105355,PBANKA_093130,5
ENSG00000132361,PBANKA_093150,5
ENSG00000160051,PBANKA_093290,5
ENSG00000132361,PBANKA_093290,5
ENSG00000170265,PBANKA_093290,5
ENSG00000123064,PBANKA_093290,5
ENSG00000183186,PBANKA_093310,5
ENSG00000145506,PBANKA_093310,5
ENSG00000158022,PBANKA_093310,5
ENSG00000169609,PBANKA_093400,5
ENSG00000070495,PBANKA_093450,5
ENSG00000100284,PBANKA_093450,5
ENSG00000105401,PBANKA_093450,5
ENSG00000172638,PBANKA_093450,5
ENSG00000172893,PBANKA_093450,5
ENSG00000174744,PBANKA_093450,5
ENSG00000106348,PBANKA_093450,5
ENSG00000011422,PBANKA_093450,5
ENSG00000126107,PBANKA_093510,5
ENSG00000132361,PBANKA_093590,5
ENSG00000173264,PBANKA_093630,5
ENSG00000143552,PBANKA_093650,5
ENSG00000169609,PBANKA_093670,5
ENSG00000181038,PBANKA_093670,5
ENSG00000122034,PBANKA_093670,5
ENSG00000139180,PBANKA_093670,5
ENSG00000134330,PBANKA_093670,5
ENSG00000114316,PBANKA_093730,5
ENSG00000163956,PBANKA_093730,5
ENSG00000204936,PBANKA_093740,5
ENSG00000125834,PBANKA_093820,5
ENSG00000221983,PBANKA_093960,5
ENSG00000123349,PBANKA_093960,5
ENSG00000132361,PBANKA_094050,5
ENSG00000125531,PBANKA_094050,5
ENSG00000158019,PBANKA_094110,5
ENSG00000185236,PBANKA_094110,5
ENSG00000166685,PBANKA_094140,5
ENSG00000145569,PBANKA_094170,5
ENSG00000120820,PBANKA_094230,5
ENSG00000130733,PBANKA_094280,5
ENSG00000067836,PBANKA_094280,5
ENSG00000184840,PBANKA_094320,5
ENSG00000100441,PBANKA_094320,5
ENSG00000083750,PBANKA_094360,5
ENSG00000129197,PBANKA_130060,5
ENSG00000007376,PBANKA_130060,5
ENSG00000184840,PBANKA_130060,5
ENSG00000130733,PBANKA_130060,5
ENSG00000140950,PBANKA_130060,5
ENSG00000116691,PBANKA_130060,5
ENSG00000173264,PBANKA_130100,5
ENSG00000100991,PBANKA_130110,5
ENSG00000197746,PBANKA_130150,5
ENSG00000123610,PBANKA_130300,5
ENSG00000093010,PBANKA_130310,5
ENSG00000089693,PBANKA_130310,5
ENSG00000101150,PBANKA_130310,5
ENSG00000011009,PBANKA_130310,5
ENSG00000182718,PBANKA_130310,5
ENSG00000110719,PBANKA_130310,5
ENSG00000158552,PBANKA_130310,5
ENSG00000115307,PBANKA_130310,5
ENSG00000123992,PBANKA_130310,5
ENSG00000149923,PBANKA_130310,5
ENSG00000105401,PBANKA_130320,5
ENSG00000126107,PBANKA_130400,5
ENSG00000129219,PBANKA_130460,5
ENSG00000130669,PBANKA_130480,5
ENSG00000188162,PBANKA_130540,5
ENSG00000165072,PBANKA_130540,5
ENSG00000179071,PBANKA_130540,5
ENSG00000104881,PBANKA_130540,5
ENSG00000249715,PBANKA_130540,5
ENSG00000145569,PBANKA_130600,5
ENSG00000105229,PBANKA_130600,5
ENSG00000083750,PBANKA_130680,5
ENSG00000142546,PBANKA_130680,5
ENSG00000132361,PBANKA_130870,5
ENSG00000125531,PBANKA_130870,5
ENSG00000173264,PBANKA_130880,5
ENSG00000132361,PBANKA_130880,5
ENSG00000123064,PBANKA_130880,5
ENSG00000071553,PBANKA_130940,5
ENSG00000165502,PBANKA_130950,5
ENSG00000130159,PBANKA_130950,5
ENSG00000161016,PBANKA_130950,5
ENSG00000120742,PBANKA_130950,5
ENSG00000115307,PBANKA_130950,5
ENSG00000143222,PBANKA_130950,5
ENSG00000160051,PBANKA_130960,5
ENSG00000149782,PBANKA_130960,5
ENSG00000100991,PBANKA_130960,5
ENSG00000178814,PBANKA_130960,5
ENSG00000185896,PBANKA_130960,5
ENSG00000132361,PBANKA_130960,5
ENSG00000197746,PBANKA_130960,5
ENSG00000179562,PBANKA_130960,5
ENSG00000072958,PBANKA_130960,5
